job_id,career_title,job_title,company,location,salary_min,salary_max,job_type,experience_level,required_skills,description,apply_url
j1,Full-Stack Web Developer,Junior Full-Stack Developer,TechNova Solutions,"San Francisco, CA (Remote)",75000,100000,Full-time,Entry,"HTML, CSS, JavaScript, React, Node.js, Git",Build and maintain web applications using modern JavaScript frameworks. Collaborate with cross-functional teams to deliver high-quality software.,https://www.linkedin.com/jobs/
j2,Full-Stack Web Developer,Full-Stack Engineer,Innovate Labs,"New York, NY",100000,140000,Full-time,Mid,"React, TypeScript, Node.js, PostgreSQL, Docker, REST APIs",Design and implement scalable web applications. Lead feature development and mentor junior developers.,https://www.linkedin.com/jobs/
j3,Full-Stack Web Developer,Senior Full-Stack Developer,CloudFirst Tech,"Austin, TX (Hybrid)",130000,175000,Full-time,Senior,"React, Node.js, MongoDB, AWS, Docker, System Design, TypeScript",Architect and build complex web applications at scale. Drive technical decisions and code reviews.,https://www.linkedin.com/jobs/
j4,Full-Stack Web Developer,Full-Stack Developer Intern,StartUp Hub,Remote,40000,60000,Internship,Entry,"HTML, CSS, JavaScript, React, Git",Assist in developing web features under mentorship. Learn best practices in modern web development.,https://www.linkedin.com/jobs/
j5,Data Scientist,Junior Data Scientist,DataPulse Inc.,"Seattle, WA (Remote)",80000,105000,Full-time,Entry,"Python, SQL, Pandas, Scikit-Learn, Statistics",Analyze datasets to derive actionable insights. Build predictive models and create visualizations.,https://www.linkedin.com/jobs/
j6,Data Scientist,Data Scientist,QuantumAI Labs,"Boston, MA",110000,150000,Full-time,Mid,"Python, Machine Learning, TensorFlow, SQL, Data Visualization, Statistics",Develop and deploy ML models for business intelligence. Collaborate with engineering teams on data pipelines.,https://www.linkedin.com/jobs/
j7,Data Scientist,Senior Data Scientist,MegaCorp Analytics,"San Jose, CA",140000,185000,Full-time,Senior,"Python, Deep Learning, TensorFlow, PyTorch, Feature Engineering, System Design",Lead data science initiatives and mentor team members. Design experiments and drive data strategy.,https://www.linkedin.com/jobs/
j8,Data Scientist,Data Science Intern,Research Labs Co.,Remote,45000,65000,Internship,Entry,"Python, Pandas, NumPy, SQL, Statistics",Support data science team with analysis and model prototyping. Learn industry best practices.,https://www.linkedin.com/jobs/
j9,Backend Engineer,Junior Backend Developer,CodeCraft Studios,"Denver, CO (Remote)",75000,100000,Full-time,Entry,"Python, PostgreSQL, REST APIs, Git, Docker",Build and maintain backend services and APIs. Write clean and testable code.,https://www.linkedin.com/jobs/
j10,Backend Engineer,Backend Engineer,Scalable Systems Inc.,"Chicago, IL",105000,145000,Full-time,Mid,"Python, FastAPI, PostgreSQL, MongoDB, Docker, Redis, Microservices",Design and build scalable backend architectures. Optimize database queries and API performance.,https://www.linkedin.com/jobs/
j11,Backend Engineer,Senior Backend Engineer,DistributedTech,"Portland, OR (Remote)",135000,175000,Full-time,Senior,"Python, Java, System Design, Kubernetes, Kafka, Microservices, AWS",Lead backend architecture decisions. Build distributed systems handling millions of requests.,https://www.linkedin.com/jobs/
j12,Frontend Engineer,Junior Frontend Developer,PixelPerfect Design,"Los Angeles, CA",70000,95000,Full-time,Entry,"HTML, CSS, JavaScript, React, Responsive Design",Build responsive and accessible user interfaces. Work closely with designers on implementation.,https://www.linkedin.com/jobs/
j13,Frontend Engineer,Frontend Engineer,UX Dynamics,"Seattle, WA",95000,130000,Full-time,Mid,"React, TypeScript, Tailwind CSS, Redux, Webpack",Develop complex UI components and state management solutions. Optimize frontend performance.,https://www.linkedin.com/jobs/
j14,Frontend Engineer,Senior Frontend Engineer,DesignFirst Labs,"San Francisco, CA (Remote)",125000,165000,Full-time,Senior,"React, TypeScript, System Design, Figma, Unit Testing, Webpack",Lead frontend architecture and design system development. Mentor junior developers.,https://www.linkedin.com/jobs/
j15,DevOps Engineer,Junior DevOps Engineer,CloudOps Solutions,Remote,80000,105000,Full-time,Entry,"Linux, Docker, Git, CI/CD, Python",Assist in maintaining CI/CD pipelines and cloud infrastructure. Learn infrastructure as code.,https://www.linkedin.com/jobs/
j16,DevOps Engineer,DevOps Engineer,InfraScale Inc.,"Dallas, TX",100000,140000,Full-time,Mid,"Linux, AWS, Docker, Kubernetes, Terraform, CI/CD, Jenkins",Build and maintain automated deployment pipelines. Manage cloud infrastructure at scale.,https://www.linkedin.com/jobs/
