career_id,skill_name,importance
c1,HTML,Essential
c1,CSS,Essential
c1,JavaScript,Essential
c1,React,Essential
c1,Node.js,Essential
c1,MongoDB,Essential
c1,REST APIs,Essential
c1,Git,Essential
c1,TypeScript,Important
c1,Tailwind CSS,Important
c1,Express,Important
c1,PostgreSQL,Recommended
c1,Docker,Recommended
c1,Redux,Recommended
c2,Python,Essential
c2,SQL,Essential
c2,Pandas,Essential
c2,NumPy,Essential
c2,Scikit-Learn,Essential
c2,Data Visualization,Essential
c2,Machine Learning,Essential
c2,Data Analysis,Essential
c2,Statistics,Essential
c2,Matplotlib,Important
c2,Seaborn,Important
c2,Deep Learning,Recommended
c2,TensorFlow,Recommended
c2,Feature Engineering,Recommended
c3,Python,Essential
c3,Java,Essential
c3,PostgreSQL,Essential
c3,MongoDB,Essential
c3,REST APIs,Essential
c3,Docker,Essential
c3,Microservices,Essential
c3,System Design,Essential
c3,FastAPI,Important
c3,Go,Important
c3,Redis,Important
c3,Linux,Important
c3,Message Queues,Recommended
c3,Kafka,Recommended
c4,HTML,Essential
c4,CSS,Essential
c4,JavaScript,Essential
c4,React,Essential
c4,TypeScript,Essential
c4,Tailwind CSS,Important
c4,Redux,Important
c4,Figma,Important
c4,Responsive Design,Important
c4,Vue.js,Recommended
c4,Angular,Recommended
c4,SASS,Recommended
c4,Webpack,Recommended
c5,Linux,Essential
c5,AWS,Essential
c5,Docker,Essential
c5,Kubernetes,Essential
c5,CI/CD,Essential
c5,Terraform,Essential
c5,Jenkins,Important
c5,Ansible,Important
c5,Cloud Computing,Important
c5,GitHub Actions,Important
c5,Nginx,Recommended
c5,Python,Recommended
c6,Python,Essential
c6,Machine Learning,Essential
c6,Deep Learning,Essential
c6,TensorFlow,Essential
c6,PyTorch,Essential
c6,Scikit-Learn,Essential
c6,Docker,Important
c6,AWS,Important
c6,FastAPI,Important
c6,NumPy,Important
c6,Pandas,Important
c6,System Design,Recommended
c6,Kubernetes,Recommended
c7,AWS,Essential
c7,Azure,Essential
c7,GCP,Important
c7,Cloud Computing,Essential
c7,System Design,Essential
c7,Microservices,Essential
c7,Serverless,Essential
c7,Docker,Essential
c7,Kubernetes,Essential
c7,Terraform,Important
c7,Linux,Important
c7,Load Balancing,Important
c7,Caching,Recommended
c8,Cybersecurity,Essential
c8,Network Security,Essential
c8,Linux,Essential
c8,Ethical Hacking,Essential
c8,Cryptography,Essential
c8,Python,Important
c8,OWASP,Important
c8,Penetration Testing,Important
c8,Security Auditing,Recommended
c8,SOC Analysis,Recommended
c9,Python,Essential
c9,SQL,Essential
c9,Big Data,Essential
c9,Spark,Essential
c9,Kafka,Essential
c9,Airflow,Essential
c9,Data Engineering,Essential
c9,AWS,Important
c9,Docker,Important
c9,ETL,Important
c9,Data Warehousing,Important
c9,Hadoop,Important
c9,Snowflake,Recommended
c9,dbt,Recommended
c10,Figma,Essential
c10,UI/UX Design,Essential
c10,HTML,Essential
c10,CSS,Essential
c10,Wireframing,Essential
c10,Prototyping,Essential
c10,User Research,Important
c10,Design Systems,Important
c10,JavaScript,Important
c10,Responsive Design,Important
c10,Adobe XD,Recommended
c11,Dart,Essential
c11,Flutter,Essential
c11,React Native,Essential
c11,JavaScript,Essential
c11,REST APIs,Important
c11,Firebase,Important
c11,Git,Important
c11,Android Development,Important
c11,iOS Development,Important
c11,TypeScript,Recommended
c11,SwiftUI,Recommended
c11,Jetpack Compose,Recommended
c12,Python,Essential
c12,Natural Language Processing,Essential
c12,Deep Learning,Essential
c12,TensorFlow,Essential
c12,PyTorch,Essential
c12,Hugging Face,Essential
c12,Machine Learning,Essential
c12,LangChain,Important
c12,Generative AI,Important
c12,Docker,Important
c12,FastAPI,Recommended
c12,AWS,Recommended
c13,Solidity,Essential
c13,Blockchain,Essential
c13,Web3,Essential
c13,JavaScript,Essential
c13,React,Important
c13,Node.js,Important
c13,Cryptography,Important
c13,Git,Important
c13,REST APIs,Recommended
c14,C++,Essential
c14,Python,Important
c14,JavaScript,Important
c14,Git,Important
c14,Problem Solving,Essential
c14,Design Patterns,Important
c15,Linux,Essential
c15,AWS,Essential
c15,Docker,Essential
c15,Kubernetes,Essential
c15,Python,Essential
c15,CI/CD,Essential
c15,Terraform,Important
c15,System Design,Important
c15,Nginx,Important
c15,Load Balancing,Important
c15,Caching,Recommended
c15,Kafka,Recommended
c16,SQL,Essential
c16,Excel,Essential
c16,Python,Important
c16,Tableau,Essential
c16,Power BI,Important
c16,Data Analysis,Essential
c16,Data Visualization,Essential
c16,Statistics,Important
c16,Communication,Important
c16,Pandas,Recommended
c17,Agile,Essential
c17,Scrum,Essential
c17,Jira,Essential
c17,Communication,Essential
c17,Leadership,Essential
c17,Project Management,Essential
c17,Data Analysis,Important
c17,SQL,Important
c17,Figma,Important
c17,A/B Testing,Recommended
c17,Technical Writing,Recommended
c18,AWS,Essential
c18,Azure,Essential
c18,System Design,Essential
c18,Microservices,Essential
c18,Cloud Computing,Essential
c18,Docker,Essential
c18,Kubernetes,Important
c18,Serverless,Important
c18,API Gateway,Important
c18,Communication,Important
c18,Technical Writing,Recommended
c19,Python,Essential
c19,JavaScript,Important
c19,Unit Testing,Essential
c19,Integration Testing,Essential
c19,TDD,Essential
c19,CI/CD,Important
c19,Git,Important
c19,Agile,Important
c19,Postman,Recommended
c20,Technical Writing,Essential
c20,Communication,Essential
c20,Git,Essential
c20,HTML,Important
c20,CSS,Important
c20,Python,Important
c20,REST APIs,Important
c20,Markdown,Recommended
c21,Python,Essential
c21,IoT,Essential
c21,C++,Essential
c21,Linux,Essential
c21,AWS,Important
c21,MQTT,Important
c21,Docker,Recommended
c22,Python,Essential
c22,Docker,Essential
c22,Kubernetes,Essential
c22,Terraform,Essential
c22,CI/CD,Essential
c22,Linux,Essential
c22,AWS,Important
c22,System Design,Important
c22,Go,Important
c22,GitHub Actions,Important
c23,Python,Essential
c23,Generative AI,Essential
c23,LangChain,Essential
c23,Hugging Face,Essential
c23,Machine Learning,Essential
c23,Deep Learning,Important
c23,FastAPI,Important
c23,React,Important
c23,Docker,Important
c23,Natural Language Processing,Important
c23,REST APIs,Recommended
c23,AWS,Recommended
c24,Python,Essential
c24,Computer Vision,Essential
c24,Deep Learning,Essential
c24,OpenCV,Essential
c24,TensorFlow,Essential
c24,PyTorch,Essential
c24,NumPy,Important
c24,Docker,Important
c24,AWS,Recommended
c24,Keras,Recommended
c25,Python,Essential
c25,JavaScript,Essential
c25,React,Essential
c25,Node.js,Essential
c25,Machine Learning,Essential
c25,FastAPI,Essential
c25,MongoDB,Important
c25,Docker,Important
c25,TensorFlow,Important
c25,REST APIs,Important
c25,Git,Important
c25,AWS,Recommended
c25,Scikit-Learn,Recommended
car_026,Adobe XD,Recommended
car_026,ETL,Recommended
car_026,RxJS,Important
car_026,Streamlit,Essential
car_026,Slack,Recommended
car_026,Excel,Essential
car_026,Scrum,Recommended
car_026,Blockchain,Important
car_027,OpenAPI,Recommended
car_027,Mercurial,Recommended
car_027,AWS CloudFront,Important
car_027,Blender,Important
car_027,SOC Analysis,Important
car_027,Nuxt.js,Essential
car_027,Kotlin,Recommended
car_027,Render,Essential
car_027,Auth0,Essential
car_028,AutoCAD,Recommended
car_028,macOS,Essential
car_028,Pillow,Essential
car_028,Next.js,Important
car_028,Technical Writing,Important
car_028,Slack,Essential
car_029,Technical Writing,Important
car_029,NATS,Essential
car_029,NLTK,Recommended
car_029,Event-Driven Architecture,Essential
car_029,Load Balancing,Important
car_030,Cryptography,Recommended
car_030,Natural Language Processing,Essential
car_030,Wireframing,Important
car_030,Pandas,Recommended
car_030,C#,Important
car_030,ASP.NET,Recommended
car_030,Dart,Recommended
car_030,DynamoDB,Essential
car_030,User Research,Recommended
car_030,Supabase Auth,Important
car_031,Flask,Important
car_031,Eleventy,Important
car_031,Cryptography,Important
car_031,ASP.NET,Recommended
car_031,Go,Recommended
car_031,XGBoost,Recommended
car_031,Big Data,Important
car_032,Scala,Important
car_032,Insomnia,Recommended
car_032,Redis,Recommended
car_032,Markdown,Important
car_032,AWS ECS,Essential
car_032,RapidMiner,Recommended
car_032,WebRTC,Important
car_032,Linear,Essential
car_033,AWS SNS,Important
car_033,OpenCV,Important
car_033,Linear,Essential
car_033,Asana,Essential
car_033,VS Code,Essential
car_033,Recoil,Recommended
car_034,UI/UX Design,Recommended
car_034,Scikit-Learn,Important
car_034,Pillow,Essential
car_034,SQLite,Recommended
car_034,Unreal Engine,Important
car_034,DynamoDB,Essential
car_034,Memcached,Recommended
car_034,REST APIs,Important
car_034,Puppeteer,Recommended
car_035,WebStorm,Essential
car_035,Cybersecurity,Recommended
car_035,Bash,Essential
car_035,Blender,Recommended
car_035,Windows,Recommended
car_035,Maya,Essential
car_036,Clerk,Recommended
car_036,Machine Learning,Essential
car_036,Azure Kubernetes Service,Essential
car_036,Playwright,Important
car_036,Cypress,Essential
car_036,Parcel,Recommended
car_036,GitHub,Essential
car_036,Integration Testing,Essential
car_036,Vim,Important
car_037,System Design,Important
car_037,ZeroMQ,Recommended
car_037,Android Studio,Important
car_037,Mapbox API,Important
car_037,Asana,Recommended
car_038,A/B Testing,Essential
car_038,Heroku,Recommended
car_038,Blockchain,Essential
car_038,WebSocket,Recommended
car_038,Hugo,Recommended
car_038,Problem Solving,Recommended
car_038,Puppeteer,Important
car_038,dbt,Recommended
car_039,Chef,Important
car_039,Lint-staged,Important
car_039,MeiliSearch,Essential
car_039,LogRocket,Essential
car_039,Braintree,Recommended
car_039,SQLite,Essential
car_039,Prophet,Recommended
car_039,NATS,Essential
car_039,Statistics,Recommended
car_039,Android Studio,Important
car_040,Data Analysis,Recommended
car_040,Nuxt.js,Recommended
car_040,Selenium,Important
car_040,TypeORM,Important
car_040,iOS Development,Essential
car_040,Event-Driven Architecture,Recommended
car_040,OpenCV,Recommended
car_041,CSS,Important
car_041,Unix,Essential
car_041,ZeroMQ,Important
car_041,MATLAB,Important
car_041,AWS Lambda,Recommended
car_041,Vim,Recommended
car_041,LangChain,Recommended
car_041,Sequelize,Important
car_041,IntelliJ IDEA,Recommended
car_041,Bash,Recommended
car_042,GitHub,Recommended
car_042,Scrum,Recommended
car_042,WebSockets,Essential
car_042,Svelte,Recommended
car_042,GraphQL API,Essential
car_042,Emacs,Essential
car_043,Penetration Testing,Important
car_043,AWS SQS,Recommended
car_043,Chai,Important
car_043,PHP,Important
car_043,System Design,Recommended
car_044,Linear,Essential
car_044,AWS S3,Important
car_044,IntelliJ IDEA,Essential
car_044,AWS RDS,Essential
car_044,RapidMiner,Recommended
car_044,Railway,Essential
car_044,dbt,Essential
car_044,CSS,Essential
car_044,API Design,Essential
car_044,Zustand,Recommended
car_045,Event-Driven Architecture,Essential
car_045,Vite,Essential
car_045,Bootstrap,Essential
car_045,DigitalOcean Spaces,Important
car_045,New Relic,Recommended
car_045,Looker,Recommended
car_045,AWS EKS,Recommended
car_046,Machine Learning,Recommended
car_046,Supabase Auth,Important
car_046,Redux,Essential
car_046,GCP Cloud Storage,Important
car_046,Hugo,Important
car_046,LangChain,Recommended
car_047,Spring Boot,Important
car_047,Clerk,Essential
car_047,Highcharts,Essential
car_047,Puppet,Important
car_047,Twilio API,Essential
car_047,ZBrush,Important
car_047,Jotai,Essential
car_047,Cypress,Important
car_047,AWS CloudFront,Recommended
car_048,Generative AI,Important
car_048,Project Management,Essential
car_048,AR/VR,Recommended
car_048,Linux,Essential
car_048,Highcharts,Recommended
car_048,MeiliSearch,Essential
car_049,tRPC,Essential
car_049,OWASP,Recommended
car_049,Swagger,Important
car_049,Orange,Essential
car_049,Framer,Essential
car_049,Prototyping,Essential
car_049,HTML,Important
car_049,iOS Development,Important
car_049,OpenCV,Important
car_049,AWS IAM,Important
car_050,Algolia,Essential
car_050,OpenID Connect,Recommended
car_050,Hugo,Essential
car_050,Keras,Important
car_050,Alteryx,Essential
car_050,Data Engineering,Essential
car_050,WebStorm,Essential
car_050,GCP BigQuery,Recommended
car_050,jQuery,Important
car_051,Network Security,Important
car_051,GCP Cloud Storage,Essential
car_051,PowerShell,Essential
car_051,Computer Vision,Essential
car_051,Matplotlib,Essential
car_051,Android Studio,Important
car_051,PHP,Essential
car_052,C++,Essential
car_052,Grafana,Essential
car_052,Docker,Essential
car_052,API Design,Essential
car_052,Android Studio,Recommended
car_053,SASS,Recommended
car_053,Webpack,Recommended
