passion_id,passion_name,category,career_title,career_description,demand_level,growth_rate,key_skills,roadmap_steps,resources
p1,Photography,Creative Arts,Professional Photographer,"Turn your love for capturing moments into a thriving career. Work in fashion, wildlife, events, or commercial photography.",High,15%,"Camera Handling, Composition, Lighting, Adobe Lightroom, Adobe Photoshop, Color Theory, Portrait Photography, Landscape Photography","Step 1: Master Camera Basics (4 weeks) — Learn manual mode, aperture, shutter speed, ISO|Step 2: Study Composition & Lighting (3 weeks) — Rule of thirds, golden ratio, natural vs artificial light|Step 3: Learn Photo Editing (4 weeks) — Adobe Lightroom, Photoshop basics, color grading|Step 4: Choose Your Niche (2 weeks) — Portrait, landscape, product, wedding, or wildlife|Step 5: Build Your Portfolio (6 weeks) — Create 20+ best shots, build a portfolio website|Step 6: Start Freelancing (4 weeks) — Register on platforms, network with clients, set pricing|Step 7: Market Yourself (ongoing) — Social media presence, SEO, client testimonials","Photography Masterclass on Udemy|Adobe Lightroom Complete Guide|National Geographic Photography Course|B&H Photo Learning Center"
p2,Photography,Creative Arts,Photo/Video Editor,"Combine photography knowledge with digital editing to work in media, advertising, and content creation.",High,22%,"Adobe Photoshop, Adobe Premiere Pro, Color Grading, Video Editing, Motion Graphics, Storytelling","Step 1: Learn Photo Editing Fundamentals (3 weeks) — Photoshop tools, layers, masks|Step 2: Master Color Science (2 weeks) — Color theory, LUTs, grading workflows|Step 3: Learn Video Editing (4 weeks) — Premiere Pro, DaVinci Resolve, timeline editing|Step 4: Motion Graphics Basics (3 weeks) — After Effects, text animations, transitions|Step 5: Build Editing Portfolio (4 weeks) — Edit client projects, create before/after showcases|Step 6: Freelance or Studio Work (ongoing) — Join agencies or freelance platforms","Adobe Creative Cloud Tutorials|Skillshare Editing Courses|Peter McKinnon YouTube Channel|Color Grading Central"
p3,Writing,Creative Arts,Content Writer / Copywriter,"Transform your passion for words into a career creating blogs, marketing copy, scripts, and digital content.",Very High,25%,"Creative Writing, SEO Writing, Copywriting, Grammar, Research, Content Strategy, WordPress, Social Media Writing","Step 1: Strengthen Writing Fundamentals (3 weeks) — Grammar, style guides, clarity|Step 2: Learn SEO Writing (3 weeks) — Keywords, meta descriptions, search intent|Step 3: Study Copywriting Frameworks (2 weeks) — AIDA, PAS, storytelling techniques|Step 4: Build a Writing Portfolio (4 weeks) — Guest posts, Medium articles, sample pieces|Step 5: Learn Content Management (2 weeks) — WordPress, CMS tools, analytics|Step 6: Start Freelancing (3 weeks) — Upwork, Fiverr, content agencies|Step 7: Specialize & Scale (ongoing) — Technical writing, UX writing, or brand strategy","Coursera Creative Writing Specialization|HubSpot Content Marketing Certification|Grammarly Writing Tips|Copyblogger Blog"
p4,Writing,Creative Arts,Technical Writer,"Use your writing skills in the tech industry — document APIs, create user guides, and write developer content.",High,18%,"Technical Writing, Documentation, API Documentation, Markdown, Git, Research, Communication, Simplification","Step 1: Learn Technical Writing Basics (3 weeks) — Structure, audience analysis, clarity|Step 2: Master Documentation Tools (2 weeks) — Markdown, Confluence, GitBook, Notion|Step 3: Understand APIs & Tech Concepts (4 weeks) — REST APIs, basic programming, tech terminology|Step 4: Practice Writing Docs (3 weeks) — Write sample API docs, user guides, tutorials|Step 5: Learn Version Control (2 weeks) — Git basics, docs-as-code workflow|Step 6: Build Portfolio & Apply (3 weeks) — Open source contributions, tech blog","Google Technical Writing Course (Free)|Write the Docs Community|API Documentation Best Practices|Every Page is Page One Book"
p5,Drawing & Art,Creative Arts,Graphic Designer,"Turn your artistic talent into a design career — create logos, branding, marketing materials, and digital art.",Very High,20%,"Adobe Illustrator, Adobe Photoshop, Figma, Color Theory, Typography, Branding, Layout Design, Vector Art","Step 1: Learn Design Principles (3 weeks) — Color theory, typography, composition, whitespace|Step 2: Master Design Software (4 weeks) — Adobe Illustrator, Photoshop, Figma basics|Step 3: Study Branding & Identity (3 weeks) — Logo design, brand guidelines, visual identity|Step 4: Practice Layout Design (3 weeks) — Posters, social media graphics, business cards|Step 5: Build Design Portfolio (4 weeks) — 10-15 projects on Behance or Dribbble|Step 6: Freelance or Agency Work (ongoing) — Client projects, design contests, networking","Canva Design School|Adobe Creative Cloud Tutorials|Coursera Graphic Design Specialization|The Futur YouTube Channel"
p6,Drawing & Art,Creative Arts,UI/UX Designer,"Combine art skills with technology to design beautiful and intuitive digital product experiences.",Very High,25%,"Figma, UI/UX Design, Wireframing, Prototyping, User Research, Design Systems, HTML, CSS","Step 1: Learn UX Fundamentals (3 weeks) — User research, personas, journey mapping|Step 2: Master Wireframing (2 weeks) — Low-fi wireframes, information architecture|Step 3: Learn Figma (4 weeks) — Components, auto-layout, prototyping, design systems|Step 4: Study UI Design (3 weeks) — Visual hierarchy, spacing, responsive design|Step 5: Build Case Studies (4 weeks) — End-to-end UX projects with research and solutions|Step 6: Create Portfolio (2 weeks) — Behance/Dribbble portfolio, case study presentations|Step 7: Apply & Interview (ongoing) — Design challenges, whiteboard exercises","Google UX Design Certificate (Coursera)|Figma Official Tutorials|Nielsen Norman Group Articles|Refactoring UI Book"
p7,Music,Creative Arts,Music Producer / Audio Engineer,"Turn your love for music into a career producing tracks, mixing audio, and creating soundscapes for media.",High,18%,"Music Theory, DAW (Digital Audio Workstation), Mixing, Mastering, Sound Design, FL Studio, Ableton Live, Audio Engineering","Step 1: Learn Music Theory Basics (4 weeks) — Scales, chords, rhythm, harmony|Step 2: Master a DAW (4 weeks) — FL Studio, Ableton Live, or Logic Pro|Step 3: Study Mixing & Mastering (4 weeks) — EQ, compression, reverb, stereo imaging|Step 4: Learn Sound Design (3 weeks) — Synthesis, sampling, creating unique sounds|Step 5: Produce Original Tracks (6 weeks) — Create 5-10 polished tracks across genres|Step 6: Release & Promote (3 weeks) — DistroKid, SoundCloud, YouTube, social media|Step 7: Monetize (ongoing) — Sync licensing, beat selling, live gigs, teaching","Coursera Music Production Specialization|Berklee Online Music Courses|Andrew Huang YouTube Channel|Sound on Sound Magazine"
p8,Gaming,Technology,Game Developer,"Transform your gaming passion into creating games. Design mechanics, build worlds, and code interactive experiences.",High,22%,"Unity, C#, Game Design, 3D Modeling, Physics, Level Design, Blender, Unreal Engine","Step 1: Learn Game Design Fundamentals (3 weeks) — Game mechanics, player psychology, level design|Step 2: Pick a Game Engine (4 weeks) — Unity (C#) or Unreal Engine (C++/Blueprints)|Step 3: Build 2D Games (4 weeks) — Simple platformer, puzzle, or arcade game|Step 4: Learn 3D Basics (4 weeks) — 3D modeling with Blender, textures, animations|Step 5: Build a 3D Game (6 weeks) — First-person or third-person game project|Step 6: Polish & Publish (3 weeks) — Game testing, optimization, publish on itch.io or Steam|Step 7: Build Portfolio (ongoing) — Game jam participation, open source projects","Unity Learn (Free)|Brackeys YouTube Channel|Unreal Engine Learning Portal|Game Design Workshop Book"
p9,Gaming,Technology,Esports Manager / Game Analyst,"Use your deep gaming knowledge to work in esports management, game analytics, or gaming community building.",Medium,30%,"Game Strategy, Analytics, Communication, Leadership, Event Management, Social Media, Community Management","Step 1: Understand Esports Industry (2 weeks) — Teams, tournaments, business models|Step 2: Study Game Analytics (3 weeks) — Player statistics, meta analysis, data tools|Step 3: Learn Event Management (3 weeks) — Tournament organization, logistics, broadcasting|Step 4: Build Community Skills (3 weeks) — Discord management, content creation, engagement|Step 5: Get Certified (2 weeks) — Esports management courses, sports analytics|Step 6: Join Organizations (ongoing) — Volunteer at events, join gaming orgs, network","Esports Management Certificate (NYU)|Newzoo Industry Reports|Mobalytics Analytics Platform|GamesIndustry.biz"
p10,Cooking,Lifestyle,Professional Chef / Food Entrepreneur,"Turn your cooking passion into a culinary career — from restaurant chef to food business owner.",High,15%,"Culinary Arts, Food Safety, Menu Planning, Kitchen Management, Nutrition, Plating, Business Management","Step 1: Master Cooking Fundamentals (4 weeks) — Knife skills, basic techniques, flavour profiles|Step 2: Learn Food Safety (2 weeks) — FSSAI certification, hygiene practices|Step 3: Specialize in a Cuisine (4 weeks) — Indian, Continental, Asian, or Fusion|Step 4: Study Menu Planning (2 weeks) — Costing, seasonal menus, dietary needs|Step 5: Kitchen Management (3 weeks) — Inventory, team coordination, time management|Step 6: Business Planning (3 weeks) — Cloud kitchen, catering, or restaurant business plan|Step 7: Launch & Scale (ongoing) — Start small, gather reviews, expand","IHM (Institute of Hotel Management) Courses|Coursera Food Science|MasterClass Cooking|FSSAI Certification Portal"
