skill_name,category,difficulty
Python,Programming,Beginner
JavaScript,Programming,Beginner
TypeScript,Programming,Intermediate
Java,Programming,Intermediate
C++,Programming,Intermediate
C#,Programming,Intermediate
Go,Programming,Intermediate
Rust,Programming,Advanced
Ruby,Programming,Intermediate
PHP,Programming,Beginner
Swift,Programming,Intermediate
Kotlin,Programming,Intermediate
Dart,Programming,Intermediate
R,Programming,Intermediate
Scala,Programming,Advanced
HTML,Web Development,Beginner
CSS,Web Development,Beginner
React,Web Development,Intermediate
Angular,Web Development,Intermediate
Vue.js,Web Development,Intermediate
Next.js,Web Development,Intermediate
Svelte,Web Development,Intermediate
Node.js,Web Development,Intermediate
Express,Web Development,Intermediate
Django,Web Development,Intermediate
Flask,Web Development,Intermediate
FastAPI,Web Development,Intermediate
Spring Boot,Web Development,Advanced
Ruby on Rails,Web Development,Intermediate
ASP.NET,Web Development,Intermediate
Laravel,Web Development,Intermediate
Tailwind CSS,Web Development,Beginner
Bootstrap,Web Development,Beginner
SASS,Web Development,Beginner
jQuery,Web Development,Beginner
Redux,Web Development,Intermediate
GraphQL,Web Development,Intermediate
REST APIs,Web Development,Intermediate
WebSocket,Web Development,Intermediate
Webpack,Web Development,Intermediate
MongoDB,Database,Intermediate
PostgreSQL,Database,Intermediate
MySQL,Database,Intermediate
SQLite,Database,Beginner
Redis,Database,Intermediate
Cassandra,Database,Advanced
DynamoDB,Database,Intermediate
Firebase,Database,Beginner
Supabase,Database,Beginner
Neo4j,Database,Advanced
SQL,Database,Beginner
NoSQL,Database,Intermediate
Elasticsearch,Database,Advanced
Machine Learning,AI & ML,Intermediate
Deep Learning,AI & ML,Advanced
Natural Language Processing,AI & ML,Advanced
Computer Vision,AI & ML,Advanced
Reinforcement Learning,AI & ML,Advanced
TensorFlow,AI & ML,Intermediate
PyTorch,AI & ML,Intermediate
Keras,AI & ML,Intermediate
Scikit-Learn,AI & ML,Intermediate
OpenCV,AI & ML,Intermediate
Hugging Face,AI & ML,Advanced
LangChain,AI & ML,Advanced
Generative AI,AI & ML,Advanced
Neural Networks,AI & ML,Advanced
Data Analysis,Data Science,Beginner
Data Visualization,Data Science,Intermediate
Pandas,Data Science,Intermediate
NumPy,Data Science,Intermediate
Matplotlib,Data Science,Intermediate
Seaborn,Data Science,Intermediate
Tableau,Data Science,Intermediate
Power BI,Data Science,Intermediate
Excel,Data Science,Beginner
Statistics,Data Science,Intermediate
Probability,Data Science,Intermediate
Feature Engineering,Data Science,Advanced
A/B Testing,Data Science,Intermediate
AWS,Cloud & DevOps,Intermediate
Azure,Cloud & DevOps,Intermediate
GCP,Cloud & DevOps,Intermediate
Docker,Cloud & DevOps,Intermediate
Kubernetes,Cloud & DevOps,Advanced
Terraform,Cloud & DevOps,Advanced
Ansible,Cloud & DevOps,Advanced
Jenkins,Cloud & DevOps,Intermediate
GitHub Actions,Cloud & DevOps,Intermediate
CI/CD,Cloud & DevOps,Intermediate
Linux,Cloud & DevOps,Intermediate
Nginx,Cloud & DevOps,Intermediate
Cloud Computing,Cloud & DevOps,Intermediate
Serverless,Cloud & DevOps,Intermediate
Microservices,Architecture,Advanced
System Design,Architecture,Advanced
Design Patterns,Architecture,Intermediate
Event-Driven Architecture,Architecture,Advanced
Domain-Driven Design,Architecture,Advanced
API Gateway,Architecture,Intermediate
Load Balancing,Architecture,Intermediate
Caching,Architecture,Intermediate
Message Queues,Architecture,Intermediate
Git,Tools & Practices,Beginner
GitHub,Tools & Practices,Beginner
GitLab,Tools & Practices,Beginner
Jira,Tools & Practices,Beginner
Agile,Tools & Practices,Beginner
Scrum,Tools & Practices,Beginner
VS Code,Tools & Practices,Beginner
Postman,Tools & Practices,Beginner
Unit Testing,Tools & Practices,Intermediate
Integration Testing,Tools & Practices,Intermediate
TDD,Tools & Practices,Intermediate
Figma,Design,Beginner
Adobe XD,Design,Intermediate
Sketch,Design,Intermediate
UI/UX Design,Design,Intermediate
Wireframing,Design,Beginner
Prototyping,Design,Intermediate
Design Systems,Design,Advanced
User Research,Design,Intermediate
Responsive Design,Design,Beginner
Cybersecurity,Security,Intermediate
Ethical Hacking,Security,Advanced
Penetration Testing,Security,Advanced
Network Security,Security,Intermediate
Cryptography,Security,Advanced
OWASP,Security,Intermediate
Security Auditing,Security,Advanced
SOC Analysis,Security,Advanced
Blockchain,Emerging Tech,Advanced
Web3,Emerging Tech,Advanced
Solidity,Emerging Tech,Advanced
IoT,Emerging Tech,Intermediate
AR/VR,Emerging Tech,Advanced
Flutter,Mobile,Intermediate
React Native,Mobile,Intermediate
Android Development,Mobile,Intermediate
iOS Development,Mobile,Intermediate
SwiftUI,Mobile,Intermediate
Jetpack Compose,Mobile,Intermediate
Big Data,Data Engineering,Advanced
Hadoop,Data Engineering,Advanced
Spark,Data Engineering,Advanced
Kafka,Data Engineering,Advanced
Airflow,Data Engineering,Advanced
Data Engineering,Data Engineering,Intermediate
