career_id,career_title,description,avg_salary,demand_level,growth_rate
c1,Full-Stack Web Developer,"Build complete web applications from frontend to backend, handling databases, APIs, and user interfaces.","₹6,00,000 - ₹18,00,000",High,22%
c2,Data Scientist,"Extract insights from complex datasets using statistical methods, machine learning, and data visualization.","₹8,00,000 - ₹25,00,000",Very High,35%
c3,Backend Engineer,"Design and build scalable server-side applications, APIs, and database architectures.","₹7,00,000 - ₹20,00,000",High,20%
c4,Frontend Engineer,"Create engaging, responsive, and accessible user interfaces using modern JavaScript frameworks.","₹5,50,000 - ₹16,00,000",High,18%
c5,DevOps Engineer,"Automate deployment pipelines, manage cloud infrastructure, and ensure system reliability.","₹8,00,000 - ₹22,00,000",Very High,25%
c6,Machine Learning Engineer,"Design, build, train and deploy ML models into production at scale.","₹10,00,000 - ₹30,00,000",Very High,40%
c7,Cloud Architect,"Design scalable, secure, and cost-effective cloud infrastructure architectures.","₹12,00,000 - ₹35,00,000",Very High,30%
c8,Cybersecurity Analyst,"Protect systems and networks from security threats, perform vulnerability assessments.","₹6,00,000 - ₹20,00,000",Very High,33%
c9,Data Engineer,"Build and maintain data pipelines, warehouses, and systems for large-scale data processing.","₹8,00,000 - ₹24,00,000",Very High,28%
c10,UI/UX Designer,"Design intuitive, visually appealing, and user-centered digital experiences.","₹4,50,000 - ₹15,00,000",High,15%
c11,Mobile App Developer,Build native and cross-platform mobile applications for iOS and Android.,"₹6,00,000 - ₹18,00,000",High,20%
c12,AI/NLP Engineer,"Build natural language processing systems, chatbots, and language understanding models.","₹10,00,000 - ₹32,00,000",Very High,45%
c13,Blockchain Developer,"Develop decentralized applications, smart contracts, and Web3 solutions.","₹8,00,000 - ₹25,00,000",Medium,18%
c14,Game Developer,"Create interactive games using game engines, graphics programming, and physics simulation.","₹4,00,000 - ₹15,00,000",Medium,12%
c15,Site Reliability Engineer,"Ensure system uptime, performance, and reliability through automation and monitoring.","₹10,00,000 - ₹28,00,000",High,28%
c16,Data Analyst,"Analyze business data to provide actionable insights using SQL, Excel, and visualization tools.","₹4,00,000 - ₹12,00,000",High,22%
c17,Product Manager,"Lead product strategy, roadmap planning, and cross-functional team coordination.","₹10,00,000 - ₹30,00,000",High,15%
c18,Solutions Architect,Design end-to-end technical solutions aligned with business requirements.,"₹14,00,000 - ₹35,00,000",High,20%
c19,QA/Test Automation Engineer,Design and implement automated testing frameworks to ensure software quality.,"₹5,00,000 - ₹14,00,000",Medium,15%
c20,Technical Writer,"Create clear technical documentation, API guides, and developer-facing content.","₹4,00,000 - ₹12,00,000",Medium,10%
c21,IoT Developer,"Build connected device systems, embedded software, and IoT platforms.","₹5,00,000 - ₹16,00,000",Medium,20%
c22,Platform Engineer,"Build internal developer platforms, tooling, and infrastructure abstractions.","₹10,00,000 - ₹28,00,000",High,30%
