project_id,career_title,project_title,project_description,difficulty,technologies,github_url
,Full-Stack Web Developer,E-Commerce Platform,Build a full-featured e-commerce store with cart and payment integration.,Intermediate,"React, Node.js, MongoDB, Stripe",https://github.com/topics/ecommerce
,Full-Stack Web Developer,Social Media Dashboard,Create a social media analytics dashboard with real-time data.,Intermediate,"React, Express, PostgreSQL, Chart.js",https://github.com/topics/social-media-dashboard
,Full-Stack Web Developer,Project Management Tool,Build a Trello-like kanban board with drag-and-drop.,Advanced,"React, Node.js, MongoDB, WebSocket",https://github.com/topics/project-management
,Data Scientist,Stock Price Predictor,Predict stock prices using historical data and ML models.,Intermediate,"Python, Pandas, Scikit-Learn, Matplotlib",https://github.com/topics/stock-prediction
,Data Scientist,Customer Churn Analysis,Analyze and predict customer churn with classification models.,Intermediate,"Python, Pandas, Scikit-Learn, Seaborn",https://github.com/topics/churn-prediction
,Data Scientist,Sentiment Analysis Tool,Build a sentiment analyzer for social media posts.,Advanced,"Python, NLP, TensorFlow, Flask",https://github.com/topics/sentiment-analysis
,Backend Engineer,REST API Microservice,Build a production-ready microservice with auth and rate limiting.,Intermediate,"Python, FastAPI, PostgreSQL, Docker",https://github.com/topics/fastapi
,Backend Engineer,Chat Application Backend,Real-time chat with WebSocket support and message persistence.,Advanced,"Node.js, Redis, MongoDB, WebSocket",https://github.com/topics/chat-application
,Backend Engineer,URL Shortener Service,Build a scalable URL shortener with analytics.,Beginner,"Python, FastAPI, Redis, PostgreSQL",https://github.com/topics/url-shortener
,Frontend Engineer,Portfolio Website,Create a stunning animated personal portfolio.,Beginner,"React, Tailwind CSS, Framer Motion",https://github.com/topics/portfolio
,Frontend Engineer,Weather Dashboard,Build a weather app with beautiful data visualizations.,Intermediate,"React, TypeScript, Chart.js, API",https://github.com/topics/weather-app
,Frontend Engineer,Component Library,Create a reusable UI component library with Storybook.,Advanced,"React, TypeScript, CSS, Storybook",https://github.com/topics/component-library
,DevOps Engineer,CI/CD Pipeline,Set up automated testing and deployment pipeline.,Intermediate,"Jenkins, Docker, GitHub Actions",https://github.com/topics/cicd
,DevOps Engineer,Infrastructure as Code,Provision cloud infrastructure with Terraform.,Advanced,"Terraform, AWS, Docker",https://github.com/topics/terraform
,DevOps Engineer,Monitoring Dashboard,Build system monitoring with Prometheus and Grafana.,Intermediate,"Docker, Prometheus, Grafana, Linux",https://github.com/topics/monitoring
,Machine Learning Engineer,Image Classifier,Build a CNN-based image classification system.,Intermediate,"Python, TensorFlow, Keras, OpenCV",https://github.com/topics/image-classification
,Machine Learning Engineer,Recommendation Engine,Build a movie/product recommendation system.,Advanced,"Python, Scikit-Learn, Pandas, FastAPI",https://github.com/topics/recommendation-system
,Machine Learning Engineer,Object Detection App,Real-time object detection using YOLO.,Advanced,"Python, PyTorch, OpenCV, Docker",https://github.com/topics/object-detection
,Cloud Architect,Multi-Tier Architecture,Design and deploy a 3-tier cloud architecture.,Advanced,"AWS, Terraform, Docker, Nginx",https://github.com/topics/cloud-architecture
,Cloud Architect,Serverless Application,Build a serverless REST API with Lambda.,Intermediate,"AWS, Serverless, DynamoDB, API Gateway",https://github.com/topics/serverless
,Cybersecurity Analyst,Vulnerability Scanner,Build an automated vulnerability scanning tool.,Advanced,"Python, Nmap, OWASP",https://github.com/topics/vulnerability-scanner
,Cybersecurity Analyst,Network Monitor,Create a network traffic monitoring dashboard.,Intermediate,"Python, Linux, Wireshark",https://github.com/topics/network-monitoring
,Data Engineer,ETL Pipeline,Build an automated ETL pipeline with Airflow.,Intermediate,"Python, Airflow, PostgreSQL, Docker",https://github.com/topics/etl
,Data Engineer,Real-Time Streaming,Process streaming data with Kafka and Spark.,Advanced,"Kafka, Spark, Python, Docker",https://github.com/topics/data-streaming
,UI/UX Designer,Design System,Create a comprehensive design system in Figma.,Intermediate,"Figma, Design Systems",https://github.com/topics/design-system
,UI/UX Designer,Mobile App Redesign,Redesign an existing app with better UX.,Intermediate,"Figma, Prototyping, User Research",https://github.com/topics/ux-design
,Mobile App Developer,Todo App with Sync,Build a cross-platform todo app with cloud sync.,Beginner,"Flutter, Firebase, Dart",https://github.com/topics/todo-app
,Mobile App Developer,Fitness Tracker,Create a fitness tracking app with charts.,Intermediate,"React Native, Firebase, Charts",https://github.com/topics/fitness-app
,Generative AI Engineer,AI Chatbot,Build a RAG-powered chatbot with LangChain.,Intermediate,"Python, LangChain, FastAPI, React",https://github.com/topics/chatbot
,Generative AI Engineer,AI Content Generator,Create an AI-powered blog/content generator.,Advanced,"Python, OpenAI, LangChain, Next.js",https://github.com/topics/ai-content
,Full-Stack AI Developer,AI Resume Analyzer,Build an AI-powered resume analysis platform.,Intermediate,"React, FastAPI, Python, NLP",https://github.com/topics/resume-parser
,Full-Stack AI Developer,Smart Study Planner,AI-powered personalized study plan generator.,Advanced,"React, Node.js, TensorFlow, MongoDB",https://github.com/topics/study-planner
,Data Analyst,Sales Dashboard,Interactive sales analytics dashboard.,Beginner,"Excel, Tableau, SQL",https://github.com/topics/dashboard
,Data Analyst,Survey Analysis Tool,Analyze survey data and generate reports.,Intermediate,"Python, Pandas, Matplotlib, Streamlit",https://github.com/topics/data-analysis
prj_0035,Full-Stack Web Developer,Full-Stack Web Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Full-Stack Web Developer.,Beginner,"MicroStrategy, ZeroMQ, Machine Learning",https://github.com/example/project
prj_0036,Full-Stack Web Developer,Full-Stack Web Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Full-Stack Web Developer.,Advanced,"Sequelize, Bootstrap, MySQL",https://github.com/example/project
prj_0037,Data Scientist,Data Scientist Portfolio Project 1,A comprehensive project demonstrating skills required for a Data Scientist.,Advanced,"GraphQL, AR/VR, Event-Driven Architecture",https://github.com/example/project
prj_0038,Data Scientist,Data Scientist Portfolio Project 2,A comprehensive project demonstrating skills required for a Data Scientist.,Advanced,"Kafka, Kubernetes, Looker",https://github.com/example/project
prj_0039,Backend Engineer,Backend Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Backend Engineer.,Advanced,"Spacy, Machine Learning, Linear",https://github.com/example/project
prj_0040,Backend Engineer,Backend Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Backend Engineer.,Intermediate,"Mailchimp API, Integration Testing, WebSocket",https://github.com/example/project
prj_0041,Frontend Engineer,Frontend Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Frontend Engineer.,Intermediate,"jQuery, Blender, Twilio API",https://github.com/example/project
prj_0042,Frontend Engineer,Frontend Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Frontend Engineer.,Intermediate,"Azure, Amplitude, Ruby",https://github.com/example/project
prj_0043,DevOps Engineer,DevOps Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a DevOps Engineer.,Beginner,"Android Studio, Asana, Tailwind CSS",https://github.com/example/project
prj_0044,DevOps Engineer,DevOps Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a DevOps Engineer.,Intermediate,"SPSS, Auth0, Scala",https://github.com/example/project
prj_0045,Machine Learning Engineer,Machine Learning Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Machine Learning Engineer.,Advanced,"Mailchimp API, Presentation Skills, Eleventy",https://github.com/example/project
prj_0046,Machine Learning Engineer,Machine Learning Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Machine Learning Engineer.,Advanced,"Kotlin, RabbitMQ, ZeroMQ",https://github.com/example/project
prj_0047,Cloud Architect,Cloud Architect Portfolio Project 1,A comprehensive project demonstrating skills required for a Cloud Architect.,Beginner,"AR/VR, Chef, AWS Route 53",https://github.com/example/project
prj_0048,Cloud Architect,Cloud Architect Portfolio Project 2,A comprehensive project demonstrating skills required for a Cloud Architect.,Advanced,"Eleventy, Docker, WebStorm",https://github.com/example/project
prj_0049,Cybersecurity Analyst,Cybersecurity Analyst Portfolio Project 1,A comprehensive project demonstrating skills required for a Cybersecurity Analyst.,Beginner,"Ansible, Azure Kubernetes Service, LangChain",https://github.com/example/project
prj_0050,Cybersecurity Analyst,Cybersecurity Analyst Portfolio Project 2,A comprehensive project demonstrating skills required for a Cybersecurity Analyst.,Beginner,"Flutter, AWS Cognito, Puppet",https://github.com/example/project
prj_0051,Data Engineer,Data Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Data Engineer.,Beginner,"LangChain, ASP.NET, C++",https://github.com/example/project
prj_0052,Data Engineer,Data Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Data Engineer.,Advanced,"System Design, Datadog, ESLint",https://github.com/example/project
prj_0053,UI/UX Designer,UI/UX Designer Portfolio Project 1,A comprehensive project demonstrating skills required for a UI/UX Designer.,Beginner,"Presentation Skills, Adobe XD, Algolia",https://github.com/example/project
prj_0054,UI/UX Designer,UI/UX Designer Portfolio Project 2,A comprehensive project demonstrating skills required for a UI/UX Designer.,Advanced,"Responsive Design, GCP, Vim",https://github.com/example/project
prj_0055,Mobile App Developer,Mobile App Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Mobile App Developer.,Advanced,"Recoil, Mongoose, C++",https://github.com/example/project
prj_0056,Mobile App Developer,Mobile App Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Mobile App Developer.,Advanced,"Bitbucket, C#, MeiliSearch",https://github.com/example/project
prj_0057,AI/NLP Engineer,AI/NLP Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a AI/NLP Engineer.,Beginner,"KNIME, Angular, Substance Painter",https://github.com/example/project
prj_0058,AI/NLP Engineer,AI/NLP Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a AI/NLP Engineer.,Advanced,"Problem Solving, Neo4j, SVN",https://github.com/example/project
prj_0059,Blockchain Developer,Blockchain Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Blockchain Developer.,Advanced,"Hugo, Cassandra, Cloud Computing",https://github.com/example/project
prj_0060,Blockchain Developer,Blockchain Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Blockchain Developer.,Intermediate,"Gensim, Mongoose, Seaborn",https://github.com/example/project
prj_0061,Game Developer,Game Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Game Developer.,Intermediate,"MeiliSearch, Unity, CI/CD",https://github.com/example/project
prj_0062,Game Developer,Game Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Game Developer.,Advanced,"SPSS, Statsmodels, AWS Cognito",https://github.com/example/project
prj_0063,Site Reliability Engineer,Site Reliability Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Site Reliability Engineer.,Beginner,"Zoom, Prisma, Revit",https://github.com/example/project
prj_0064,Site Reliability Engineer,Site Reliability Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Site Reliability Engineer.,Intermediate,"AWS SQS, dbt, RapidMiner",https://github.com/example/project
prj_0065,Data Analyst,Data Analyst Portfolio Project 1,A comprehensive project demonstrating skills required for a Data Analyst.,Advanced,"Presentation Skills, Airflow, Netlify",https://github.com/example/project
prj_0066,Data Analyst,Data Analyst Portfolio Project 2,A comprehensive project demonstrating skills required for a Data Analyst.,Advanced,"Firebase, Spark, MeiliSearch",https://github.com/example/project
prj_0067,Product Manager,Product Manager Portfolio Project 1,A comprehensive project demonstrating skills required for a Product Manager.,Beginner,"Ruby, Critical Thinking, Communication",https://github.com/example/project
prj_0068,Product Manager,Product Manager Portfolio Project 2,A comprehensive project demonstrating skills required for a Product Manager.,Intermediate,"Prettier, Power BI, GCP Cloud Storage",https://github.com/example/project
prj_0069,Solutions Architect,Solutions Architect Portfolio Project 1,A comprehensive project demonstrating skills required for a Solutions Architect.,Intermediate,"Looker, Babel, MongoDB",https://github.com/example/project
prj_0070,Solutions Architect,Solutions Architect Portfolio Project 2,A comprehensive project demonstrating skills required for a Solutions Architect.,Beginner,"jQuery, Postman, Communication",https://github.com/example/project
prj_0071,QA/Test Automation Engineer,QA/Test Automation Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a QA/Test Automation Engineer.,Intermediate,"SAML, Algolia, Godot",https://github.com/example/project
prj_0072,QA/Test Automation Engineer,QA/Test Automation Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a QA/Test Automation Engineer.,Beginner,"API Design, Probability, React Native",https://github.com/example/project
prj_0073,Technical Writer,Technical Writer Portfolio Project 1,A comprehensive project demonstrating skills required for a Technical Writer.,Advanced,"Swagger, AWS SNS, OpenAPI",https://github.com/example/project
prj_0074,Technical Writer,Technical Writer Portfolio Project 2,A comprehensive project demonstrating skills required for a Technical Writer.,Advanced,"GraphQL API, Data Engineering, React Native",https://github.com/example/project
prj_0075,IoT Developer,IoT Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a IoT Developer.,Advanced,"Segment, Framer, Flutter",https://github.com/example/project
prj_0076,IoT Developer,IoT Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a IoT Developer.,Intermediate,"Grafana, OWASP, Scrum",https://github.com/example/project
prj_0077,Platform Engineer,Platform Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Platform Engineer.,Advanced,"Serverless, Pandas, Sketch",https://github.com/example/project
prj_0078,Platform Engineer,Platform Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Platform Engineer.,Beginner,"CatBoost, R, Vercel",https://github.com/example/project
prj_0079,Generative AI Engineer,Generative AI Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Generative AI Engineer.,Advanced,"Maya, Redux Toolkit, Blockchain",https://github.com/example/project
prj_0080,Generative AI Engineer,Generative AI Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Generative AI Engineer.,Advanced,"Looker, Ansible, Miro",https://github.com/example/project
prj_0081,Computer Vision Engineer,Computer Vision Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Computer Vision Engineer.,Intermediate,"GCP BigQuery, ASP.NET, OpenID Connect",https://github.com/example/project
prj_0082,Computer Vision Engineer,Computer Vision Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Computer Vision Engineer.,Intermediate,"Neo4j, Linux, Google Maps API",https://github.com/example/project
prj_0083,Full-Stack AI Developer,Full-Stack AI Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Full-Stack AI Developer.,Advanced,"Fusion 360, Mercurial, Insomnia",https://github.com/example/project
prj_0084,Full-Stack AI Developer,Full-Stack AI Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Full-Stack AI Developer.,Intermediate,"Chart.js, Jest, Problem Solving",https://github.com/example/project
prj_0085,Junior Frontend Developer,Junior Frontend Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior Frontend Developer.,Intermediate,"Matplotlib, DynamoDB, Chart.js",https://github.com/example/project
prj_0086,Junior Frontend Developer,Junior Frontend Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior Frontend Developer.,Beginner,"AWS SNS, Xcode, InVision",https://github.com/example/project
prj_0087,Junior Backend Developer,Junior Backend Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior Backend Developer.,Intermediate,"Prometheus, SASS, Vite",https://github.com/example/project
prj_0088,Junior Backend Developer,Junior Backend Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior Backend Developer.,Advanced,"Presentation Skills, SAML, VS Code",https://github.com/example/project
prj_0089,Junior Full Stack Developer,Junior Full Stack Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior Full Stack Developer.,Beginner,"Grafana, Vue.js, HTML",https://github.com/example/project
prj_0090,Junior Full Stack Developer,Junior Full Stack Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior Full Stack Developer.,Advanced,"Remix, Braintree, Transformers",https://github.com/example/project
prj_0091,Junior Data Scientist,Junior Data Scientist Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior Data Scientist.,Advanced,"SQLite, Time Management, MicroStrategy",https://github.com/example/project
prj_0092,Junior Data Scientist,Junior Data Scientist Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior Data Scientist.,Advanced,"LogRocket, Message Queues, Firebase Auth",https://github.com/example/project
prj_0093,Junior DevOps Engineer,Junior DevOps Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior DevOps Engineer.,Beginner,"Data Engineering, AWS IAM, FastAPI",https://github.com/example/project
prj_0094,Junior DevOps Engineer,Junior DevOps Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior DevOps Engineer.,Beginner,"Orange, New Relic, SQL",https://github.com/example/project
prj_0095,Junior Cloud Architect,Junior Cloud Architect Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior Cloud Architect.,Beginner,"Neural Networks, Supabase, AWS CloudFront",https://github.com/example/project
prj_0096,Junior Cloud Architect,Junior Cloud Architect Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior Cloud Architect.,Beginner,"AWS S3, Gensim, Supabase Auth",https://github.com/example/project
prj_0097,Junior Product Manager,Junior Product Manager Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior Product Manager.,Intermediate,"Probability, Vue.js, Tailwind CSS",https://github.com/example/project
prj_0098,Junior Product Manager,Junior Product Manager Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior Product Manager.,Beginner,"Data Visualization, Puppeteer, AWS Lambda",https://github.com/example/project
prj_0099,Junior UI/UX Designer,Junior UI/UX Designer Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior UI/UX Designer.,Intermediate,"Data Engineering, HTML, Transformers",https://github.com/example/project
prj_0100,Junior UI/UX Designer,Junior UI/UX Designer Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior UI/UX Designer.,Advanced,"Nuxt.js, Docker Compose, Puppet",https://github.com/example/project
prj_0101,Junior Mobile Developer,Junior Mobile Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior Mobile Developer.,Beginner,"Esbuild, Datadog, RxJS",https://github.com/example/project
prj_0102,Junior Mobile Developer,Junior Mobile Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior Mobile Developer.,Intermediate,"Big Data, Spark, NLTK",https://github.com/example/project
prj_0103,Junior QA Engineer,Junior QA Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior QA Engineer.,Beginner,"Cassandra, Playwright, macOS",https://github.com/example/project
prj_0104,Junior QA Engineer,Junior QA Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior QA Engineer.,Intermediate,"Azure, Memcached, Azure Blob Storage",https://github.com/example/project
prj_0105,Junior Security Analyst,Junior Security Analyst Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior Security Analyst.,Intermediate,"Mongoose, Tailwind CSS, Unity",https://github.com/example/project
prj_0106,Junior Security Analyst,Junior Security Analyst Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior Security Analyst.,Beginner,"LogRocket, OpenID Connect, Laravel",https://github.com/example/project
prj_0107,Junior Database Administrator,Junior Database Administrator Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior Database Administrator.,Advanced,"Supabase Auth, Zustand, Responsive Design",https://github.com/example/project
